Date,Match,Player Actual Win,Player Model Win,Check
9/6,Shelton v Tsitsipas,Shelton,Shelton,Correct
9/6,Michelsen v Etcheverry,Michelsen,Michelsen,Correct
9/7,Gea v Zandschulp,Zandschulp,Zandschulp / No Data - Gea,Correct
9/7,Zverev v Darderi,Zverev,Zverev,Correct
9/7,Tien v Khachanov,Khachanov,Tien,Incorrect
9/7,Cerundolo v Blockx,Blockx,Cerundolo,Incorrect
9/8,Shelton v Alcaraz,Shelton,Alcaraz,Incorrect
9/8,Tiafoe v Michelsen,Tiafoe,Tiafoe,Correct
9/9,Zverev v Zandschulp,Zverev,Zverev,Correct
9/9,Khachanov v Blockx,Khachanov,Khachanov,Correct
9/11,Tiafoe v Shelton,Shelton,Shelton,Correct
9/11,Zverev v Khachanov,Zverev,Zverev,Correct
9/13,Zverev v Shelton,Zverev,Zverev,Correct
